,idtramo,transito (vh/h),des_tramo,coordinates,color
366,A115,769,GENERAL URRUTIA,"[[-0.3662823014, 39.460921441400004], [-0.36325861540000004, 39.4566818262]]","(255, 165, 0)"
367,A116,1,GIORGETA,"[[-0.3834852721, 39.4577615712], [-0.3867434936, 39.4623279576]]","(0, 255, 0)"
368,A16,216,ALICANTE,"[[-0.37800771440000003, 39.4631760933], [-0.3764960526, 39.467413863]]","(0, 255, 0)"
369,A161,2664,MENORCA,"[[-0.3422657354, 39.4595503847], [-0.3410624765, 39.4603185152], [-0.3393044803, 39.4612074436], [-0.3386060835, 39.4618302449]]","(255, 0, 0)"
370,A163,554,MESTRE RACIONAL,"[[-0.3612778887, 39.4642552437], [-0.3637153078, 39.4632270022]]","(255, 165, 0)"
371,A164,120,MICER MASCO,"[[-0.36715123390000004, 39.4767767019], [-0.3593686747, 39.4745127994]]","(0, 255, 0)"
372,A165,2280,"NARANJOS, AVENIDA DE LOS","[[-0.3452837016, 39.4798705196], [-0.3502899678, 39.4813326636]]","(255, 0, 0)"
373,A208,1,QUART - S.J. MONTAÑA,"[[-0.39524940270000003, 39.4742458051], [-0.3920171354, 39.4745470777], [-0.3917852817, 39.4744627227], [-0.3883635707, 39.475007041]]","(0, 255, 0)"
374,A209,300,QUART,"[[-0.3883635707, 39.475007041], [-0.3841499862, 39.4756771706]]","(0, 255, 0)"
375,A21,540,"ANTIC REGNE, AVENIDA","[[-0.36245726380000004, 39.4625351945], [-0.3643653941, 39.4629527452]]","(255, 165, 0)"
376,A253,180,YECLA,"[[-0.3543783854, 39.4714782665], [-0.3479980478, 39.4735014501]]","(0, 255, 0)"
377,A252,1476,XATIVA,"[[-0.3797992995, 39.4682360543], [-0.3754581878, 39.4671555062], [-0.37542914180000003, 39.4671487153], [-0.3753998108, 39.4671427016], [-0.375370229, 39.4671374841], [-0.375340443, 39.4671330637], [-0.3753104635, 39.4671294588], [-0.3752803375, 39.4671266613], [-0.375250111, 39.4671246814], [-0.3752198077, 39.4671235105], [-0.37518948480000003, 39.4671231679], [-0.3751591546, 39.467123636], [-0.3751288634, 39.4671249248], [-0.3750986462, 39.467127026], [-0.3750685375, 39.4671299494], [-0.3750385846, 39.4671336782], [-0.37500882220000004, 39.467138213], [-0.3749792738, 39.4671435454], [-0.374949986, 39.4671496765]]","(255, 165, 0)"
378,A254,828,ZAPADORES,"[[-0.3693274104, 39.4596365941], [-0.36674740780000004, 39.4552097808]]","(255, 165, 0)"
379,A297,1,ACCESO BARCELONA RAMAL DE SALIDA [De Paso Inferior a V-21],"[[-0.3492140433, 39.4828284492], [-0.3508255119, 39.4805881304], [-0.35117656740000003, 39.4785606331]]","(0, 255, 0)"
380,A299,1248,CAMP DEL TURIA,"[[-0.4024722298, 39.494768561], [-0.40007543560000003, 39.4958158308]]","(255, 165, 0)"
381,A385,126,CAMPOS CRESPO,"[[-0.3995723855, 39.4535322706], [-0.3971420439, 39.4555949654], [-0.3970874173, 39.4556397682], [-0.39703083510000003, 39.4556830948], [-0.3969723808, 39.4557248929], [-0.3969121143, 39.45576511], [-0.3968501068, 39.4558037114], [-0.3967864413, 39.4558406451], [-0.39672116620000003, 39.455875867], [-0.3966543876, 39.4559093345], [-0.39658616480000003, 39.455941013], [-0.3965165693, 39.4559708588], [-0.3964457065, 39.4559988475], [-0.39637365950000003, 39.4560249357], [-0.3963004988, 39.456049098], [-0.3962263071, 39.4560713004], [-0.3961511897, 39.456091527], [-0.3960752174, 39.4561097434], [-0.39599848390000003, 39.4561259338], [-0.3959210828, 39.4561400822], [-0.39584309630000003, 39.4561521634], [-0.3957646293, 39.4561621707], [-0.3956857634, 39.456170097], [-0.3956065925, 39.4561759174], [-0.3903182981, 39.4564941684]]","(0, 255, 0)"
382,A386,252,SUECA,"[[-0.37276954360000003, 39.4581840775], [-0.3766575036, 39.4637198263]]","(0, 255, 0)"
383,A66,252,CARRERA DE SAN LUIS,"[[-0.3714516625, 39.4587402202], [-0.3716121482, 39.4580209292], [-0.37171282450000004, 39.4570064812], [-0.3715646748, 39.4559621901], [-0.3715441008, 39.4548481549], [-0.3715463151, 39.4531294411], [-0.36739417150000003, 39.4468190435]]","(0, 255, 0)"
384,A68,451,"CENTELLES, LOS","[[-0.3734318815, 39.4591271896], [-0.3764089373, 39.4578707774]]","(0, 255, 0)"
385,A69,1,"CID, AVENIDA","[[-0.3901029326, 39.4670354974], [-0.3925212292, 39.4674709627]]","(0, 255, 0)"
386,A7,1698,"ALAMEDA, PASEO DE","[[-0.36126011680000003, 39.4689419466], [-0.3584211087, 39.4637869036]]","(255, 165, 0)"
387,B124,300,MENDIZÁBAL De Álvaro López a Fausto Elio,"[[-0.3311260735, 39.4842154605], [-0.3301822553, 39.4840744672]]","(0, 255, 0)"
388,B125,72,CUARTELL De Florista a Alquería de Bellver,"[[-0.3981902735, 39.4950213896], [-0.3975721336, 39.4954275816]]","(0, 255, 0)"
389,B126,72,SIERRA AGULLENT De Florista a Av. Burjasot,"[[-0.3967632495, 39.4946195977], [-0.3960895197, 39.4950471123]]","(0, 255, 0)"
390,B13,216,BORRULL,"[[-0.3867817643, 39.4745926247], [-0.38805506900000003, 39.4745748015]]","(0, 255, 0)"
391,B14,162,BURRIANA,"[[-0.3654247691, 39.465661511], [-0.3693208457, 39.464036991]]","(0, 255, 0)"
