,idtramo,transito (vh/h),des_tramo,coordinates,color
257,A25,1396,ARCHIDUQUE CARLOS,"[[-0.4023572389, 39.4581180157], [-0.3973058545, 39.4627813099]]","(255, 165, 0)"
258,A250,837,VALLE DE LA BALLESTERA,"[[-0.40593700200000005, 39.4783194234], [-0.4046965943, 39.4785677307], [-0.3997565051, 39.4783992249], [-0.3985760518, 39.4789056494]]","(255, 165, 0)"
259,A251,1119,VALLE DE LA BALLESTERA,"[[-0.3985760518, 39.4789056494], [-0.3941407723, 39.4808082757], [-0.3929441698, 39.4814242683]]","(255, 165, 0)"
260,A256,1908,BLANQUERIAS,"[[-0.3758655193, 39.479503949], [-0.3787368646, 39.4810278721], [-0.3802304232, 39.4813413757]]","(255, 165, 0)"
261,A281,1224,PUENTE DE ASTILLEROS,"[[-0.33241364100000004, 39.4524047508], [-0.32980853460000004, 39.4553236807]]","(255, 165, 0)"
262,A349,360,MAESTRO GUERRERO,"[[-0.3942433598, 39.4728364516], [-0.39157939340000003, 39.4740005258], [-0.38805506900000003, 39.4745748015]]","(0, 255, 0)"
263,A35,324,AVENIDA BURJASSOT,"[[-0.3938685442, 39.4929091615], [-0.389510909, 39.4886268672]]","(0, 255, 0)"
264,A350,324,AYORA,"[[-0.3939415687, 39.4640494322], [-0.3914504238, 39.467278152]]","(0, 255, 0)"
265,A351,84,AVDA. MEDITERRANEO,"[[-0.3282616414, 39.4676309782], [-0.3251811468, 39.467415777]]","(0, 255, 0)"
266,A353,356,SAN VICENTE,"[[-0.3797992995, 39.4682360543], [-0.3768526045, 39.4721780708]]","(0, 255, 0)"
267,A355,2034,MENÉNDEZ PIDAL,"[[-0.39115091150000003, 39.4789121501], [-0.3894589034, 39.4794141483], [-0.3894218641, 39.4794257033], [-0.38938535760000004, 39.4794382432], [-0.3893494313, 39.4794517421], [-0.38931412, 39.4794662007], [-0.3817675696, 39.4826840875]]","(255, 0, 0)"
268,A357,2304,AUTOPISTA DEL SALER (PASO INFERIOR Y LATERAL),"[[-0.3562132804, 39.4564303334], [-0.3522608242, 39.4531945878]]","(255, 0, 0)"
269,A359,209,JOSE Mª HARO,"[[-0.3393899446, 39.4670999625], [-0.3374970426, 39.4709916112]]","(0, 255, 0)"
270,A36,1,AVENIDA BURJASSOT,"[[-0.3880373479, 39.4871786248], [-0.38518914860000003, 39.4850671751], [-0.3817675696, 39.4826840875]]","(0, 255, 0)"
271,A375,1,BULEVAR SUR,"[[-0.3947350295, 39.4498398327], [-0.3919135896, 39.4477122688], [-0.3864004317, 39.4463699911]]","(0, 255, 0)"
272,A376,3348,RONDA NORTE,"[[-0.3576014919, 39.4942708431], [-0.3529146251, 39.4881212787], [-0.3513195458, 39.4822649208]]","(255, 0, 0)"
273,A377,1980,MAESTRO RODRIGO,"[[-0.4051812135, 39.4879905999], [-0.40917800130000004, 39.4933984262]]","(255, 165, 0)"
274,A378,1110,LA SAFOR,"[[-0.4051812135, 39.4879905999], [-0.3992872712, 39.4902514734]]","(255, 165, 0)"
275,A379,612,PLAZA TETUAN,"[[-0.3682454015, 39.4719627449], [-0.36975805770000003, 39.4739013767]]","(255, 165, 0)"
276,A38,288,AVENIDA BURJASSOT,"[[-0.3989751613, 39.4979266418], [-0.3938685442, 39.4929091615]]","(0, 255, 0)"
277,A382,1548,PIO BAROJA,"[[-0.40721256180000004, 39.4811319968], [-0.4051812135, 39.4879905999]]","(255, 165, 0)"
278,A384,1,TOMÁS DE MONTAÑANA,"[[-0.353544899, 39.4599674388], [-0.35260072070000004, 39.4622763606]]","(0, 255, 0)"
279,A387,1830,TRES CRUCES,"[[-0.4023572389, 39.4581180157], [-0.3995723855, 39.4535322706]]","(255, 165, 0)"
280,A52,1404,BLASCO IBAÑEZ,"[[-0.3345175973, 39.4701209731], [-0.3374970426, 39.4709916112]]","(255, 165, 0)"
281,A90,333,DOCTOR LLUCH,"[[-0.3276572517, 39.4718514004], [-0.32726833450000004, 39.4745668475]]","(0, 255, 0)"
282,A91,2074,DOCTOR MANUEL CANDELA,"[[-0.35128015, 39.4655053912], [-0.34942850870000003, 39.4700326076]]","(255, 0, 0)"
283,A92,1743,DOCTOR MANUEL CANDELA,"[[-0.34942850870000003, 39.4700326076], [-0.3478044521, 39.4740028283]]","(255, 165, 0)"
284,A93,544,DOCTOR MARCOS SOPENA,"[[-0.3296835905, 39.4624936272], [-0.32501813430000004, 39.4624498083]]","(255, 165, 0)"
285,A98,570,DOLORES MARQUES,"[[-0.3638111885, 39.4845869293], [-0.35973519400000004, 39.4928679127]]","(255, 165, 0)"
286,B1,72,ACACIAS,"[[-0.38770712220000003, 39.4920605956], [-0.3888598238, 39.48990636]]","(0, 255, 0)"
287,A99,2214,EDUARDO BOSCA,"[[-0.3579973983, 39.4640334365], [-0.3565358155, 39.4670403553]]","(255, 0, 0)"
288,B10,144,BARÓN DE SAN PETRILLO,"[[-0.3600955073, 39.488469632], [-0.3602390903, 39.4879301707], [-0.3602350881, 39.4872846746], [-0.3602240845, 39.486323668], [-0.3603900926, 39.4854352932], [-0.3608469924, 39.4843748995]]","(0, 255, 0)"
289,B100,396,SERPIS,"[[-0.3470811214, 39.4756381709], [-0.3416651242, 39.4740012277]]","(0, 255, 0)"
290,B103,251,TAMARINDOS,"[[-0.4014831009, 39.475467277], [-0.4025075389, 39.4784930914]]","(0, 255, 0)"
291,B104,180,TENERIFE,"[[-0.40037822430000003, 39.4662264609], [-0.4008688876, 39.4645455578], [-0.400855365, 39.4637704322]]","(0, 255, 0)"
292,B105,131,TORRES,"[[-0.39905550970000003, 39.4720447945], [-0.39890223680000003, 39.4737396176]]","(0, 255, 0)"
293,B106,126,VICENTE GALLART,"[[-0.3292501425, 39.4655212694], [-0.3285714368, 39.4654673734]]","(0, 255, 0)"
294,B108,60,VICENTE LA RODA,"[[-0.3266897409, 39.479251117], [-0.3257945233, 39.4791391878]]","(0, 255, 0)"
295,B109,150,VIRGEN DE LA CABEZA,"[[-0.3994860477, 39.4638257263], [-0.399357238, 39.4621105972], [-0.398677033, 39.4615155743]]","(0, 255, 0)"
296,B11,108,BENICADELL,"[[-0.3947459647, 39.4902077039], [-0.39425889470000003, 39.4908909461], [-0.393877203, 39.4911502895], [-0.3930894352, 39.4921435761]]","(0, 255, 0)"
297,B110,84,VIRGEN DEL SUFRAGIO,"[[-0.32835500700000003, 39.4669789104], [-0.3271051446, 39.4668624697]]","(0, 255, 0)"
298,A198,2106,PRIMADO REIG,"[[-0.36839497800000004, 39.4879807779], [-0.36279171260000004, 39.4838320595]]","(255, 0, 0)"
299,A199,1,PRIMADO REIG,"[[-0.3739144, 39.4920667065], [-0.36839497800000004, 39.4879807779]]","(0, 255, 0)"
300,A20,574,"ANTIC REGNE, AVENIDA","[[-0.3643653941, 39.4629527452], [-0.373657746, 39.464985701]]","(255, 165, 0)"
301,A200,1923,PRIMADO REIG,"[[-0.3595562397, 39.4814361257], [-0.3548006278, 39.4779140535]]","(255, 165, 0)"
